Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block,,,
2025/1/1,Alumahan (Striped Mackerel),"1,205 kg",200,55.35,160,,,
2025/1/1,Bangus (Milk Fish),42 kg,200,55.35,160,,,
2025/1/1,Bariles (Yellow Fin Tuna),384 kg,250,55.35,160,,,
2025/1/1,Culisi (Nemipterid),"2,181 kg",123,55.35,160,,,
2025/1/1,Galunggong (Round Scad),975 kg,200,55.35,160,,,
2025/1/1,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.35,160,,,
2025/1/1,Lapu-lapu (Grouper),73 kg,280,55.35,160,,,
2025/1/1,Malasugi (Blue Marlin),829 Kg,300,55.35,160,,,
2025/1/1,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.35,160,,,
2025/1/1,Maya-maya (Snapper),23 kg,350,55.35,160,,,
2025/1/1,Mulmul (Parrot Fish),17 kg,200,55.35,160,,,
2025/1/1,Samaral (Siganid),67 kg,220,55.35,160,,,
2025/1/1,Talakitok (Crevalle),91 kg,280,55.35,160,,,
2025/1/1,Tamban (Indian Sardines),"4,716 kg",100,55.35,160,,,
2025/1/1,Sting Ray,249 Kg,100,55.35,160,,,
2025/1/1,Tanguigue (Spanish Mackerel),279 Kg,300,55.35,160,,,
2025/1/1,Tulingan (Frigate Tuna),473 kg,350,55.35,160,,,
2025/1/2,Alumahan (Striped Mackerel),"1,205 kg",200,55.35,160,,,
2025/1/2,Bangus (Milk Fish),42 kg,200,55.35,160,,,
2025/1/2,Bariles (Yellow Fin Tuna),384 kg,250,55.35,160,,,
2025/1/2,Culisi (Nemipterid),"2,181 kg",123,55.35,160,,,
2025/1/2,Galunggong (Round Scad),975 kg,200,55.35,160,,,
2025/1/2,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.35,160,,,
2025/1/2,Lapu-lapu (Grouper),73 kg,280,55.35,160,,,
2025/1/2,Malasugi (Blue Marlin),829 Kg,300,55.35,160,,,
2025/1/2,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.35,160,,,
2025/1/2,Maya-maya (Snapper),23 kg,350,55.35,160,,,
2025/1/2,Mulmul (Parrot Fish),17 kg,200,55.35,160,,,
2025/1/2,Samaral (Siganid),67 kg,220,55.35,160,,,
2025/1/2,Talakitok (Crevalle),91 kg,280,55.35,160,,,
2025/1/2,Tamban (Indian Sardines),"4,716 kg",100,55.35,160,,,
2025/1/2,Sting Ray,249 Kg,100,55.35,160,,,
2025/1/2,Tanguigue (Spanish Mackerel),279 Kg,300,55.35,160,,,
2025/1/2,Tulingan (Frigate Tuna),473 kg,350,55.35,160,,,
2025/1/3,Alumahan (Striped Mackerel),"1,205 kg",200,55.35,160,,,
2025/1/3,Bangus (Milk Fish),42 kg,200,55.35,160,,,
2025/1/3,Bariles (Yellow Fin Tuna),384 kg,250,55.35,160,,,
2025/1/3,Culisi (Nemipterid),"2,181 kg",123,55.35,160,,,
2025/1/3,Galunggong (Round Scad),975 kg,200,55.35,160,,,
2025/1/3,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.35,160,,,
2025/1/3,Lapu-lapu (Grouper),73 kg,280,55.35,160,,,
2025/1/3,Malasugi (Blue Marlin),829 Kg,300,55.35,160,,,
2025/1/3,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.35,160,,,
2025/1/3,Maya-maya (Snapper),23 kg,350,55.35,160,,,
2025/1/3,Mulmul (Parrot Fish),17 kg,200,55.35,160,,,
2025/1/3,Samaral (Siganid),67 kg,220,55.35,160,,,
2025/1/3,Talakitok (Crevalle),91 kg,280,55.35,160,,,
2025/1/3,Tamban (Indian Sardines),"4,716 kg",100,55.35,160,,,
2025/1/3,Sting Ray,249 Kg,100,55.35,160,,,
2025/1/3,Tanguigue (Spanish Mackerel),279 Kg,300,55.35,160,,,
2025/1/3,Tulingan (Frigate Tuna),473 kg,350,55.35,160,,,
2025/1/4,Alumahan (Striped Mackerel),"1,205 kg",200,55.35,160,,,
2025/1/4,Bangus (Milk Fish),42 kg,200,55.35,160,,,
2025/1/4,Bariles (Yellow Fin Tuna),384 kg,250,55.35,160,,,
2025/1/4,Culisi (Nemipterid),"2,181 kg",123,55.35,160,,,
2025/1/4,Galunggong (Round Scad),975 kg,200,55.35,160,,,
2025/1/4,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.35,160,,,
2025/1/4,Lapu-lapu (Grouper),73 kg,280,55.35,160,,,
2025/1/4,Malasugi (Blue Marlin),829 Kg,300,55.35,160,,,
2025/1/4,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.35,160,,,
2025/1/4,Maya-maya (Snapper),23 kg,350,55.35,160,,,
2025/1/4,Mulmul (Parrot Fish),17 kg,200,55.35,160,,,
2025/1/4,Samaral (Siganid),67 kg,220,55.35,160,,,
2025/1/4,Talakitok (Crevalle),91 kg,280,55.35,160,,,
2025/1/4,Tamban (Indian Sardines),"4,716 kg",100,55.35,160,,,
2025/1/4,Sting Ray,249 Kg,100,55.35,160,,,
2025/1/4,Tanguigue (Spanish Mackerel),279 Kg,300,55.35,160,,,
2025/1/4,Tulingan (Frigate Tuna),473 kg,350,55.35,160,,,
2025/1/5,Alumahan (Striped Mackerel),"1,205 kg",200,55.35,160,,,
2025/1/5,Bangus (Milk Fish),42 kg,200,55.35,160,,,
2025/1/5,Bariles (Yellow Fin Tuna),384 kg,250,55.35,160,,,
2025/1/5,Culisi (Nemipterid),"2,181 kg",123,55.35,160,,,
2025/1/5,Galunggong (Round Scad),975 kg,200,55.35,160,,,
2025/1/5,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.35,160,,,
2025/1/5,Lapu-lapu (Grouper),73 kg,280,55.35,160,,,
2025/1/5,Malasugi (Blue Marlin),829 Kg,300,55.35,160,,,
2025/1/5,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.35,160,,,
2025/1/5,Maya-maya (Snapper),23 kg,350,55.35,160,,,
2025/1/5,Mulmul (Parrot Fish),17 kg,200,55.35,160,,,
2025/1/5,Samaral (Siganid),67 kg,220,55.35,160,,,
2025/1/5,Talakitok (Crevalle),91 kg,280,55.35,160,,,
2025/1/5,Tamban (Indian Sardines),"4,716 kg",100,55.35,160,,,
2025/1/5,Sting Ray,249 Kg,100,55.35,160,,,
2025/1/5,Tanguigue (Spanish Mackerel),279 Kg,300,55.35,160,,,
2025/1/5,Tulingan (Frigate Tuna),473 kg,350,55.35,160,,,
2025/1/6,Alumahan (Striped Mackerel),"1,205 kg",210,55.35,160,,,
2025/1/6,Bangus (Milk Fish),42 kg,210,55.35,160,,,
2025/1/6,Bariles (Yellow Fin Tuna),384 kg,260,55.35,160,,,
2025/1/6,Culisi (Nemipterid),"2,181 kg",133,55.35,160,,,
2025/1/6,Galunggong (Round Scad),975 kg,210,55.35,160,,,
2025/1/6,Gulyasan or puyan (Skipjack tuna),229 kg,210,55.35,160,,,
2025/1/6,Lapu-lapu (Grouper),73 kg,290,55.35,160,,,
2025/1/6,Malasugi (Blue Marlin),829 Kg,310,55.35,160,,,
2025/1/6,Matang Baka (Big-eyed Scads),"1,685 kg",260,55.35,160,,,
2025/1/6,Maya-maya (Snapper),23 kg,360,55.35,160,,,
2025/1/6,Mulmul (Parrot Fish),17 kg,210,55.35,160,,,
2025/1/6,Samaral (Siganid),67 kg,230,55.35,160,,,
2025/1/6,Talakitok (Crevalle),91 kg,290,55.35,160,,,
2025/1/6,Tamban (Indian Sardines),"4,716 kg",110,55.35,160,,,
2025/1/6,Sting Ray,249 Kg,110,55.35,160,,,
2025/1/6,Tanguigue (Spanish Mackerel),279 Kg,310,55.35,160,,,
2025/1/6,Tulingan (Frigate Tuna),473 kg,360,55.35,160,,,
2025/1/7,Alumahan (Striped Mackerel),"1,205 kg",210,56.75,160,,,
2025/1/7,Bangus (Milk Fish),42 kg,210,56.75,160,,,
2025/1/7,Bariles (Yellow Fin Tuna),384 kg,260,56.75,160,,,
2025/1/7,Culisi (Nemipterid),"2,181 kg",133,56.75,160,,,
2025/1/7,Galunggong (Round Scad),975 kg,210,56.75,160,,,
2025/1/7,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.75,160,,,
2025/1/7,Lapu-lapu (Grouper),73 kg,290,56.75,160,,,
2025/1/7,Malasugi (Blue Marlin),829 Kg,310,56.75,160,,,
2025/1/7,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.75,160,,,
2025/1/7,Maya-maya (Snapper),23 kg,360,56.75,160,,,
2025/1/7,Mulmul (Parrot Fish),17 kg,210,56.75,160,,,
2025/1/7,Samaral (Siganid),67 kg,230,56.75,160,,,
2025/1/7,Talakitok (Crevalle),91 kg,290,56.75,160,,,
2025/1/7,Tamban (Indian Sardines),"4,716 kg",110,56.75,160,,,
2025/1/7,Sting Ray,249 Kg,110,56.75,160,,,
2025/1/7,Tanguigue (Spanish Mackerel),279 Kg,310,56.75,160,,,
2025/1/7,Tulingan (Frigate Tuna),473 kg,360,56.75,160,,,
2025/1/8,Alumahan (Striped Mackerel),"1,205 kg",210,56.75,160,,,
2025/1/8,Bangus (Milk Fish),42 kg,210,56.75,160,,,
2025/1/8,Bariles (Yellow Fin Tuna),384 kg,260,56.75,160,,,
2025/1/8,Culisi (Nemipterid),"2,181 kg",133,56.75,160,,,
2025/1/8,Galunggong (Round Scad),975 kg,210,56.75,160,,,
2025/1/8,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.75,160,,,
2025/1/8,Lapu-lapu (Grouper),73 kg,290,56.75,160,,,
2025/1/8,Malasugi (Blue Marlin),829 Kg,310,56.75,160,,,
