Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block
2024/1/1,Alumahan (Striped Mackerel),"1,776 Kg",142,59.15,160
2024/1/1,Bangus (Milk Fish),"101,326 Kg",188,59.15,160
2024/1/1,Bariles (Yellow Fin Tuna),345 Kg,200,59.15,160
2024/1/1,Culisi (Nemipterid),"2,181 Kg",123,59.15,160
2024/1/1,Galunggong (Round Scad),"5,296 Kg",155,59.15,160
2024/1/1,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",160,59.15,160
2024/1/1,Lapu-lapu (Grouper),524 Kg,297,59.15,160
2024/1/1,Malasugi (Blue Marlin),829 Kg,305,59.15,160
2024/1/1,Matang Baka (Big-eyed Scads),"25,066 Kg",212,59.15,160
2024/1/1,Maya-maya (Snapper),484 Kg,301,59.15,160
2024/1/1,Mulmul (Parrot Fish),378 Kg,215,59.15,160
2024/1/1,Samaral (Siganid),596 Kg,258,59.15,160
2024/1/1,Talakitok (Crevalle),"1,233 Kg",251,59.15,160
2024/1/1,Tamban (Indian Sardines),"5,363 Kg",85,59.15,160
2024/1/1,Sting Ray,249 Kg,100,59.15,160
2024/1/1,Tanguigue (Spanish Mackerel),279 Kg,299,59.15,160
2024/1/1,Tulingan (Frigate Tuna),"1,236 Kg",185,59.15,160
2024/1/2,Alumahan (Striped Mackerel),"1,776 Kg",142,59.15,160
2024/1/2,Bangus (Milk Fish),"101,326 Kg",188,59.15,160
2024/1/2,Bariles (Yellow Fin Tuna),345 Kg,200,59.15,160
2024/1/2,Culisi (Nemipterid),"2,181 Kg",123,59.15,160
2024/1/2,Galunggong (Round Scad),"5,296 Kg",155,59.15,160
2024/1/2,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",160,59.15,160
2024/1/2,Lapu-lapu (Grouper),524 Kg,297,59.15,160
2024/1/2,Malasugi (Blue Marlin),829 Kg,305,59.15,160
2024/1/2,Matang Baka (Big-eyed Scads),"25,066 Kg",212,59.15,160
2024/1/2,Maya-maya (Snapper),484 Kg,301,59.15,160
2024/1/2,Mulmul (Parrot Fish),378 Kg,215,59.15,160
2024/1/2,Samaral (Siganid),596 Kg,258,59.15,160
2024/1/2,Talakitok (Crevalle),"1,233 Kg",251,59.15,160
2024/1/2,Tamban (Indian Sardines),"5,363 Kg",85,59.15,160
2024/1/2,Sting Ray,249 Kg,100,59.15,160
2024/1/2,Tanguigue (Spanish Mackerel),279 Kg,299,59.15,160
2024/1/2,Tulingan (Frigate Tuna),"1,236 Kg",185,59.15,160
2024/1/3,Alumahan (Striped Mackerel),"1,776 Kg",145,59.15,160
2024/1/3,Bangus (Milk Fish),"101,326 Kg",190,59.15,160
2024/1/3,Bariles (Yellow Fin Tuna),345 Kg,205,59.15,160
2024/1/3,Culisi (Nemipterid),"2,181 Kg",128,59.15,160
2024/1/3,Galunggong (Round Scad),"5,296 Kg",160,59.15,160
2024/1/3,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",162,59.15,160
2024/1/3,Lapu-lapu (Grouper),524 Kg,298,59.15,160
2024/1/3,Malasugi (Blue Marlin),829 Kg,303,59.15,160
2024/1/3,Matang Baka (Big-eyed Scads),"25,066 Kg",215,59.15,160
2024/1/3,Maya-maya (Snapper),484 Kg,305,59.15,160
2024/1/3,Mulmul (Parrot Fish),378 Kg,211,59.15,160
2024/1/3,Samaral (Siganid),596 Kg,268,59.15,160
2024/1/3,Talakitok (Crevalle),"1,233 Kg",248,59.15,160
2024/1/3,Tamban (Indian Sardines),"5,363 Kg",80,59.15,160
2024/1/3,Sting Ray,249 Kg,106,59.15,160
2024/1/3,Tanguigue (Spanish Mackerel),279 Kg,203,59.15,160
